_title,_author
To Kill a Mockingbird,Arne Ashworth
Hamlet,Lothaire Gannicleff
Pride and Prejudice,Demetris Edgerton
The Great Gatsby,Lucretia Crossgrove
The Catcher in the Rye,Alexandros Chattaway
Brave New World,Maire Sprull
The Hobbit,Roby Gillani
The Lord of the Rings,Talia Peiser
Harry Potter and the Sorcerer's Stone,Nikolaus Wilderspoon
The Hunger Games,Ricardo Tolemache
The Da Vinci Code,Rorke Antliff
The Catcher in the Rye,Ferrell Manuel
The Alchemist,Caria Goodread
War and Peace,Jarad Pellett
Moby-Dick,Tessy Martyntsev
Crime and Punishment,Kassi Thorneley
The Odyssey,Ruthann Elderidge
The Picture of Dorian Gray,Lilllie Sudron
The Grapes of Wrath,Vita Loudyan
The Road,Susana Karet
The Shining,Melisenda Hellsdon
The Stand,Earle Barrs
Frankenstein,Barnaby Colson
Dracula,Tobe Tingey
Great Expectations,Willyt Camsey
Wuthering Heights,Payton Hurren
The Sun Also Rises,Karry Soeiro
The Old Man and the Sea,Cecil Offin
The Call of the Wild,Barrie Darlasson
The Color Purple,Pearce Gummoe
One Hundred Years of Solitude,Amalea By
The Lord of the Flies,Peyter Courcey
The Little Prince,Joaquin Shelmardine
The Hitchhiker's Guide to the Galaxy,Misti Pittendreigh
The Road Less Traveled,Doe Moxsom
The Secret Garden,Salomone Schooley
The Time Traveler's Wife,Demetra Dederick
The Secret Life of Bees,Latisha O'Fearguise
The Kite Runner,Demetris Winckles
The Help,Joanna Keach
The Book Thief,Kimball Bexley
The Maze Runner,Clemmy Solomonides
The Girl with the Dragon Tattoo,Daniela O'Dulchonta
The Life of Pi,Jan Pinchbeck
The Lovely Bones,Eva Bramwich
The Fault in Our Stars,Kippie Pirot
The Girl on the Train,Aileen Taffie
The Hunger Games,Marissa Traves
The Giver,Woodie Sacks
The Wind in the Willows,Raynell Blunsen
The Jungle Book,Bevvy Clear
The Adventures of Tom Sawyer,Jamesy Minker
The Adventures of Huckleberry Finn,Odetta Cockings
The War of the Worlds,Denyse Radmer
The Iliad,Leora Billie
The Odyssey,Trace McKnockiter
The Divine Comedy,Matthieu Macknish
The Canterbury Tales,Joelle Foli
The Scarlet Letter,Ebonee Trimnell
Great Expectations,Celle Oliveras
The Sound and the Fury,Sarine Pleven
The Heart of Darkness,Rowena Fielders
The Sun Also Rises,Benny De Carolis
The Old Man and the Sea,Christie Witherdon
The Call of the Wild,Rosetta Digginson
The Road,Laurene Kollasch
The Martian,Caro Foli
The Giver,Karlotte Glanester
The Night Circus,Abie Goldsworthy
The Book Thief,Rabbi Wearing
The Road Less Traveled,Lorant Tildesley
The Secret Garden,Edi Bynold
The Secret Life of Bees,Alanah Pyson
The Kite Runner,Audi Conroy
The Help,Emeline Wooldridge
The Maze Runner,Sheri Hocking
The Girl with the Dragon Tattoo,Lionello Whitlow
The Life of Pi,Clarey Hackett
The Lovely Bones,Vanya Melley
The Fault in Our Stars,Betta Gerin
The Girl on the Train,Madeline Garmey
The Hunger Games,Elroy Arthy
The Giver,Gracia Ferrarone
The Wind in the Willows,Robby Tracy
The Jungle Book,Boote Townshend
The Adventures of Tom Sawyer,Phineas Shobrook
The Adventures of Huckleberry Finn,Papagena Kilpin
The War of the Worlds,Grantham Bouzan
The Iliad,Valentia Gilbee
The Odyssey,Curcio Ipplett
The Divine Comedy,Rosalynd Fenck
The Canterbury Tales,Raina Sapwell
The Scarlet Letter,Austin Tomicki
Great Expectations,Chevy Guest
The Sound and the Fury,Gwenni Feldfisher
The Heart of Darkness,Truda Hartland
The Sun Also Rises,Robb Domney
The Old Man and the Sea,Ricardo Scottrell
The Call of the Wild,Franky Laurenty
The Road.,Fredericka Lippiett
